gene_name	ensembl_gene_id
BPTF	ENSG00000171634
BRAT1	ENSG00000106009
BRD2	ENSG00000230678
BRD2	 ENSG00000235307
BRD2	 ENSG00000215077
BRD2	 ENSG00000234704
BRD2	 ENSG00000204256
BRD2	 ENSG00000236227
BRD2	 ENSG00000234507
BRD4	ENSG00000141867
BRD7	ENSG00000166164
BRD9	ENSG00000028310
BRE	ENSG00000158019
BRF1	ENSG00000185024
BRF2	ENSG00000104221
BRIX1	ENSG00000113460
BRK1	ENSG00000254999
BRMS1	ENSG00000174744
BRPF1	ENSG00000156983
BRPF3	ENSG00000096070
BSDC1	ENSG00000160058
BSG	ENSG00000172270
BTBD2	ENSG00000133243
BTD	ENSG00000169814
BTF3	ENSG00000145741
BUB3	ENSG00000154473
BZW1	ENSG00000082153
C10orf12	ENSG00000155640
C10orf2	ENSG00000107815
C10orf76	ENSG00000120029
C10orf88	ENSG00000119965
C11orf1	ENSG00000137720
C11orf24	ENSG00000171067
C11orf31	ENSG00000211450
C11orf57	ENSG00000150776
C11orf58	ENSG00000110696
C11orf73	ENSG00000149196
C12orf10	ENSG00000139637
C12orf29	ENSG00000133641
C12orf45	ENSG00000151131
C12orf57	ENSG00000111678
C12orf65	ENSG00000130921
C12orf66	ENSG00000174206
C14orf1	ENSG00000133935
C14orf119	ENSG00000179933
C14orf142	ENSG00000275619
C14orf142	 ENSG00000170270
C14orf166	ENSG00000087302
C14orf2	ENSG00000156411
C14orf28	ENSG00000179476
C15orf57	ENSG00000128891
C16orf13	ENSG00000130731
C16orf62	ENSG00000103544
C16orf72	ENSG00000182831
C16orf91	ENSG00000174109
C17orf49	ENSG00000258315
C17orf51	ENSG00000212719
C17orf58	ENSG00000186665
C18orf21	ENSG00000141428
C18orf25	ENSG00000152242
C18orf32	ENSG00000177576
C18orf8	ENSG00000141452
C19orf43	ENSG00000123144
C19orf53	ENSG00000104979
C19orf60	ENSG00000006015
C19orf70	ENSG00000174917
C1GALT1	ENSG00000106392
C1QBP	ENSG00000108561
C1orf109	ENSG00000116922
C1orf122	ENSG00000197982
C1orf123	ENSG00000162384
C1orf174	ENSG00000198912
C1orf43	ENSG00000143612
C1orf50	ENSG00000164008
C1orf52	ENSG00000162642
C20orf24	ENSG00000101084
C21orf2	ENSG00000160226
C21orf33	ENSG00000160221
C21orf59	ENSG00000159079
C22orf29	ENSG00000215012
C2orf47	ENSG00000162972
C2orf49	ENSG00000135974
C2orf69	ENSG00000178074
C2orf74	ENSG00000237651
C2orf76	ENSG00000186132
C3orf17	ENSG00000163608
C3orf38	ENSG00000179021
C3orf58	ENSG00000181744
C4orf27	ENSG00000056050
C4orf3	ENSG00000164096
C5orf15	ENSG00000113583
C5orf24	ENSG00000181904
C6orf1	ENSG00000186577
C6orf106	ENSG00000196821
C6orf120	ENSG00000185127
C6orf136	ENSG00000224120
C6orf136	 ENSG00000233641
C6orf136	 ENSG00000237100
C6orf136	 ENSG00000204564
C6orf136	 ENSG00000237012
C6orf136	 ENSG00000206487
C6orf136	 ENSG00000233164
C6orf226	ENSG00000221821
C6orf47	ENSG00000228435
C6orf47	 ENSG00000228177
C6orf47	 ENSG00000226103
C6orf47	 ENSG00000226531
C6orf47	 ENSG00000235360
C6orf47	 ENSG00000204439
C6orf47	 ENSG00000203623
C6orf62	ENSG00000112308
C6orf89	ENSG00000198663
C7orf25	ENSG00000136197
C7orf26	ENSG00000146576
C7orf49	ENSG00000122783
C7orf50	ENSG00000146540
C7orf55	ENSG00000164898
C7orf73	ENSG00000243317
C8orf33	ENSG00000182307
C8orf59	ENSG00000176731
C8orf76	ENSG00000189376
C8orf82	ENSG00000213563
C9orf16	ENSG00000171159
C9orf64	ENSG00000165118
C9orf69	ENSG00000238227
C9orf78	ENSG00000136819
CAB39	ENSG00000135932
CALCOCO2	ENSG00000136436
CALM1	ENSG00000198668
CALR	ENSG00000179218
CALU	ENSG00000128595
CAMTA1	ENSG00000171735
CAMTA2	ENSG00000108509
CANT1	ENSG00000171302
CANX	ENSG00000127022
CAPN1	ENSG00000014216
CAPN7	ENSG00000131375
CAPNS1	ENSG00000126247
CAPRIN1	ENSG00000135387
CAPZA2	ENSG00000198898
CAPZB	ENSG00000077549
CARKD	ENSG00000213995
CARS	ENSG00000278191
CARS	 ENSG00000110619
CARS2	ENSG00000134905
CASC3	ENSG00000108349
CASC4	ENSG00000166734
CASP3	ENSG00000164305
CASP7	ENSG00000165806
CASP9	ENSG00000132906
CBR4	ENSG00000145439
CBX3	ENSG00000122565
CBX5	ENSG00000094916
CC2D1A	ENSG00000132024
CC2D1B	ENSG00000154222
CCAR1	ENSG00000060339
CCBL1	ENSG00000171097
CCDC12	ENSG00000160799
CCDC124	ENSG00000007080
CCDC127	ENSG00000164366
CCDC130	ENSG00000104957
CCDC137	ENSG00000185298
CCDC149	ENSG00000181982
CCDC174	ENSG00000154781
CCDC22	ENSG00000101997
CCDC25	ENSG00000147419
CCDC47	ENSG00000108588
CCDC50	ENSG00000152492
CCDC51	ENSG00000164051
CCDC59	ENSG00000133773
CCDC71	ENSG00000177352
CCDC86	ENSG00000110104
CCDC92	ENSG00000275035
CCDC92	 ENSG00000119242
CCDC94	ENSG00000105248
CCM2	ENSG00000136280
CCNB1IP1	ENSG00000100814
CCNDBP1	ENSG00000166946
CCNG1	ENSG00000113328
CCNH	ENSG00000134480
CCNK	ENSG00000090061
CCNL1	ENSG00000163660
CCNL2	ENSG00000221978
CCNY	ENSG00000108100
CCPG1	ENSG00000260916
CCT3	ENSG00000163468
CCT4	ENSG00000115484
CCT5	ENSG00000150753
CCT6A	ENSG00000146731
CCT7	ENSG00000135624
CCT8	ENSG00000156261
CD164	ENSG00000135535
CD320	ENSG00000167775
CD46	ENSG00000117335
CD63	ENSG00000135404
CD81	ENSG00000110651
CD82	ENSG00000085117
CD99L2	ENSG00000102181
CDC123	ENSG00000151465
CDC16	ENSG00000130177
CDC23	ENSG00000094880
CDC27	ENSG00000004897
CDC37	ENSG00000105401
CDC37L1	ENSG00000106993
CDC40	ENSG00000168438
CDC42	ENSG00000070831
CDC5L	ENSG00000096401
CDIP1	ENSG00000089486
CDIP1	 ENSG00000274336
CDIPT	ENSG00000103502
CDK12	ENSG00000167258
CDK13	ENSG00000065883
CDK16	ENSG00000102225
CDK2AP1	ENSG00000111328
CDK4	ENSG00000135446
CDK5RAP1	ENSG00000101391
CDK8	ENSG00000132964
CDK9	ENSG00000136807
CDS2	ENSG00000101290
CDV3	ENSG00000091527
CDYL	ENSG00000153046
CEBPG	ENSG00000153879
CEBPZ	ENSG00000115816
CECR5	ENSG00000069998
CELF1	ENSG00000149187
CENPB	ENSG00000125817
CENPT	ENSG00000102901
CEP104	ENSG00000116198
CEP57	ENSG00000166037
CEP63	ENSG00000182923
CERK	ENSG00000100422
CERS2	ENSG00000143418
CGGBP1	ENSG00000163320
CHAMP1	ENSG00000198824
CHCHD1	ENSG00000172586
CHCHD2	ENSG00000106153
CHCHD3	ENSG00000106554
CHCHD4	ENSG00000163528
CHCHD5	ENSG00000125611
CHCHD7	ENSG00000170791
CHD1L	ENSG00000131778
CHD4	ENSG00000111642
CHD8	ENSG00000100888
CHERP	ENSG00000085872
CHID1	ENSG00000177830
CHKB	ENSG00000100288
CHMP1A	ENSG00000131165
CHMP2A	ENSG00000130724
CHMP2B	ENSG00000083937
CHMP4A	ENSG00000254505
CHMP4B	ENSG00000101421
CHMP5	ENSG00000086065
CHMP6	ENSG00000176108
CHP1	ENSG00000187446
CHPT1	ENSG00000111666
CHRAC1	ENSG00000104472
CHST12	ENSG00000136213
CHST7	ENSG00000147119
CHTOP	ENSG00000160679
CHUK	ENSG00000213341
CHURC1	ENSG00000258289
CIAO1	ENSG00000144021
CIB1	ENSG00000185043
CIC	ENSG00000079432
CINP	ENSG00000100865
CIR1	ENSG00000138433
CISD1	ENSG00000122873
CISD2	ENSG00000145354
CISD3	ENSG00000277972
CISD3	 ENSG00000274768
CKAP4	ENSG00000136026
CLCC1	ENSG00000121940
CLCN3	ENSG00000109572
CLCN7	ENSG00000103249
CLINT1	ENSG00000113282
CLK3	ENSG00000179335
CLNS1A	ENSG00000074201
CLOCK	ENSG00000134852
CLP1	ENSG00000172409
CLPP	ENSG00000125656
CLPTM1	ENSG00000104853
CLPTM1L	ENSG00000274811
CLPTM1L	 ENSG00000049656
CLPX	ENSG00000166855
CLTA	ENSG00000122705
CLTB	ENSG00000175416
CLTC	ENSG00000141367
CMAS	ENSG00000111726
CMC1	ENSG00000187118
CMC2	ENSG00000103121
CMC4	ENSG00000182712
CMPK1	ENSG00000162368
CNBP	ENSG00000169714
CNIH4	ENSG00000143771
CNNM2	ENSG00000148842
CNNM3	ENSG00000168763
CNOT1	ENSG00000125107
CNOT11	ENSG00000158435
CNOT2	ENSG00000111596
CNOT3	ENSG00000276082
CNOT3	 ENSG00000275979
CNOT3	 ENSG00000274941
CNOT3	 ENSG00000277114
CNOT3	 ENSG00000273943
CNOT3	 ENSG00000274616
CNOT3	 ENSG00000277615
CNOT3	 ENSG00000088038
CNOT3	 ENSG00000274176
CNOT3	 ENSG00000277600
CNOT4	ENSG00000080802
CNOT7	ENSG00000198791
CNST	ENSG00000162852
COA1	ENSG00000106603
COA3	ENSG00000183978
COA4	ENSG00000181924
COA5	ENSG00000183513
COA6	ENSG00000168275
COASY	ENSG00000068120
COG1	ENSG00000166685
COG2	ENSG00000135775
COG3	ENSG00000136152
COG4	ENSG00000103051
COG7	ENSG00000168434
COG8	ENSG00000213380
COMMD1	ENSG00000173163
COMMD10	ENSG00000145781
COMMD3	ENSG00000148444
COMMD5	ENSG00000170619
COMMD6	ENSG00000188243
COMMD7	ENSG00000149600
COMMD9	ENSG00000110442
COMT	ENSG00000093010
COPA	ENSG00000122218
COPB1	ENSG00000129083
COPB2	ENSG00000184432
COPE	ENSG00000105669
COPG1	ENSG00000181789
COPS2	ENSG00000166200
COPS3	ENSG00000141030
COPS4	ENSG00000138663
COPS5	ENSG00000121022
COPS6	ENSG00000168090
COPS7A	ENSG00000111652
COPS7B	ENSG00000144524
COPS8	ENSG00000198612
COPZ1	ENSG00000111481
COQ10B	ENSG00000115520
COQ2	ENSG00000173085
COQ4	ENSG00000167113
COQ5	ENSG00000110871
COQ6	ENSG00000119723
CORO1C	ENSG00000110880
COX11	ENSG00000166260
COX14	ENSG00000178449
COX15	ENSG00000014919
COX16	ENSG00000133983
COX19	ENSG00000240230
COX20	ENSG00000203667
COX4I1	ENSG00000131143
COX5B	ENSG00000135940
COX6B1	ENSG00000126267
COX6C	ENSG00000164919
COX7A2	ENSG00000112695
COX7A2L	ENSG00000115944
COX7C	ENSG00000127184
COX8A	ENSG00000176340
CPD	ENSG00000108582
CPNE1	ENSG00000214078
CPNE2	ENSG00000140848
CPNE3	ENSG00000085719
CPOX	ENSG00000080819
CPSF2	ENSG00000165934
CPSF3L	ENSG00000127054
CPSF4	ENSG00000160917
CPSF6	ENSG00000111605
CPSF7	ENSG00000149532
CRADD	ENSG00000169372
CRBN	ENSG00000113851
CRCP	ENSG00000241258
CREB3	ENSG00000107175
CREBZF	ENSG00000137504
CREG1	ENSG00000143162
CRELD1	ENSG00000163703
CRIPAK	ENSG00000179979
CRIPT	ENSG00000119878
CRK	ENSG00000167193
CRKL	ENSG00000099942
CRLS1	ENSG00000088766
CRNKL1	ENSG00000101343
CRTC2	ENSG00000160741
CRY2	ENSG00000121671
CSGALNACT2	ENSG00000169826
CSNK1A1	ENSG00000113712
CSNK1A1L	ENSG00000180138
CSNK1D	ENSG00000141551
CSNK1G3	ENSG00000151292
CSNK2A3	ENSG00000254598
CSNK2B	ENSG00000228875
CSNK2B	 ENSG00000232960
CSNK2B	 ENSG00000224398
CSNK2B	 ENSG00000206406
CSNK2B	 ENSG00000230700
CSNK2B	 ENSG00000224774
CSNK2B	 ENSG00000204435
CSRP2BP	ENSG00000149474
CST3	ENSG00000101439
CSTB	ENSG00000160213
CSTF1	ENSG00000101138
CSTF2T	ENSG00000177613
CTAGE5	ENSG00000150527
CTBP1	ENSG00000159692
CTCF	ENSG00000102974
CTDSP2	ENSG00000175215
CTNNA1	ENSG00000044115
CTNNB1	ENSG00000168036
CTNNBIP1	ENSG00000178585
CTNNBL1	ENSG00000132792
CTNND1	ENSG00000198561
CTSA	ENSG00000064601
CTSD	ENSG00000117984
CTTN	ENSG00000085733
CTU2	ENSG00000174177
CUEDC2	ENSG00000107874
CUL1	ENSG00000055130
CUL2	ENSG00000108094
CUL4A	ENSG00000139842
CUL4B	ENSG00000158290
CUL5	ENSG00000166266
CUTA	ENSG00000226492
CUTA	 ENSG00000112514
CUX1	ENSG00000257923
CWC15	ENSG00000150316
CWC22	ENSG00000163510
CWC25	ENSG00000276761
CWC25	 ENSG00000273559
CXXC1	ENSG00000154832
CXXC5	ENSG00000171604
CXorf40A	ENSG00000197620
CXorf40B	ENSG00000197021
CXorf56	ENSG00000018610
CYB5B	ENSG00000103018
CYB5D2	ENSG00000167740
CYB5R3	ENSG00000100243
CYC1	ENSG00000179091
CYFIP1	ENSG00000280618
CYFIP1	 ENSG00000273749
CYHR1	ENSG00000187954
CYP2U1	ENSG00000155016
D2HGDH	ENSG00000180902
DAD1	ENSG00000129562
DAG1	ENSG00000173402
DAGLB	ENSG00000164535
DALRD3	ENSG00000178149
DAP3	ENSG00000132676
DARS	ENSG00000115866
DARS2	ENSG00000117593
DAXX	ENSG00000231617
DAXX	 ENSG00000206279
DAXX	 ENSG00000229396
DAXX	 ENSG00000204209
DAXX	 ENSG00000206206
DAXX	 ENSG00000227046
DAZAP1	ENSG00000071626
DBT	ENSG00000137992
DCAF10	ENSG00000122741
DCAF11	ENSG00000100897
DCAF12	ENSG00000198876
DCAF13	ENSG00000164934
DCAF5	ENSG00000139990
DCAF7	ENSG00000136485
DCAF8	ENSG00000132716
DCAKD	ENSG00000172992
DCTD	ENSG00000129187
DCTN2	ENSG00000175203
DCTN3	ENSG00000137100
DCTN4	ENSG00000132912
DCTN5	ENSG00000166847
DCTN6	ENSG00000104671
DCTPP1	ENSG00000179958
DCUN1D3	ENSG00000188215
DCUN1D4	ENSG00000109184
DCUN1D5	ENSG00000137692
DDA1	ENSG00000130311
DDB1	ENSG00000167986
DDB2	ENSG00000134574
DDOST	ENSG00000244038
DDRGK1	ENSG00000198171
DDX1	ENSG00000079785
DDX10	ENSG00000178105
DDX17	ENSG00000100201
DDX18	ENSG00000088205
DDX19A	ENSG00000168872
DDX19B	ENSG00000157349
DDX21	ENSG00000165732
DDX23	ENSG00000174243
DDX24	ENSG00000089737
DDX24	 ENSG00000273761
DDX27	ENSG00000124228
DDX39B	ENSG00000237889
DDX39B	 ENSG00000230624
DDX39B	 ENSG00000235439
DDX39B	 ENSG00000198563
DDX39B	 ENSG00000229496
DDX39B	 ENSG00000225073
DDX39B	 ENSG00000225859
DDX39B	 ENSG00000215425
DDX3X	ENSG00000215301
DDX41	ENSG00000183258
DDX42	ENSG00000198231
DDX46	ENSG00000145833
DDX47	ENSG00000213782
DDX49	ENSG00000105671
DDX54	ENSG00000123064
DDX56	ENSG00000136271
DDX59	ENSG00000118197
DEDD	ENSG00000158796
DEF8	ENSG00000140995
DEGS1	ENSG00000143753
DEK	ENSG00000124795
DENND1A	ENSG00000119522
DENND4A	ENSG00000174485
DENR	ENSG00000139726
DERA	ENSG00000023697
DERL1	ENSG00000136986
DERL2	ENSG00000072849
DESI1	ENSG00000100418
DEXI	ENSG00000182108
DFFA	ENSG00000160049
DGCR14	ENSG00000100056
DGCR2	ENSG00000070413
DGCR6L	ENSG00000128185
DHPS	ENSG00000095059
DHRS12	ENSG00000102796
DHRS7B	ENSG00000109016
DHX15	ENSG00000109606
DHX16	ENSG00000227222
DHX16	 ENSG00000233418
DHX16	 ENSG00000206486
DHX16	 ENSG00000233049
DHX16	 ENSG00000204560
DHX16	 ENSG00000231377
DHX16	 ENSG00000233561
DHX16	 ENSG00000226171
DHX29	ENSG00000067248
DHX30	ENSG00000132153
DHX32	ENSG00000089876
DHX33	ENSG00000005100
DHX36	ENSG00000281763
DHX36	 ENSG00000174953
DHX38	ENSG00000140829
DHX8	ENSG00000067596
DHX9	ENSG00000135829
DIABLO	ENSG00000184047
DIDO1	ENSG00000101191
DIEXF	ENSG00000117597
DIMT1	ENSG00000086189
DIRC2	ENSG00000138463
DIS3	ENSG00000083520
DIS3L2	ENSG00000144535
DKC1	ENSG00000130826
DLD	ENSG00000091140
DLG1	ENSG00000075711
DLGAP4	ENSG00000080845
DLST	ENSG00000119689
DMAP1	ENSG00000178028
DNAAF2	ENSG00000165506
DNAJA2	ENSG00000069345
DNAJA3	ENSG00000103423
DNAJA3	 ENSG00000276726
DNAJB11	ENSG00000090520
DNAJB12	ENSG00000148719
DNAJB9	ENSG00000128590
DNAJC10	ENSG00000077232
DNAJC11	ENSG00000007923
DNAJC14	ENSG00000135392
DNAJC17	ENSG00000104129
DNAJC19	ENSG00000205981
DNAJC2	ENSG00000105821
DNAJC21	ENSG00000168724
DNAJC3	ENSG00000102580
DNAJC4	ENSG00000110011
DNAJC5	ENSG00000101152
DNAJC7	ENSG00000168259
DNAJC8	ENSG00000126698
DNAJC9	ENSG00000213551
DNASE2	ENSG00000105612
DNLZ	ENSG00000213221
DNM1L	ENSG00000087470
